"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 05, 2019","165,048,992","152,500,000","167,392,992","152,500,000","0.58K","8.23%"
"Aug 04, 2019","152,500,000","151,180,000","152,976,992","147,535,008","0.22K","0.86%"
"Aug 03, 2019","151,195,008","148,000,000","151,792,992","147,999,008","0.21K","2.16%"
"Aug 02, 2019","148,000,000","146,544,992","149,990,000","145,336,000","0.29K","0.99%"
"Aug 01, 2019","146,544,992","142,820,000","147,000,000","139,988,000","0.28K","2.61%"
"Jul 31, 2019","142,820,000","136,483,008","142,820,000","136,348,992","0.24K","4.64%"
"Jul 30, 2019","136,483,008","136,124,000","138,254,000","134,700,000","0.27K","0.26%"
"Jul 29, 2019","136,123,008","136,719,008","139,502,000","135,532,992","0.20K","-0.35%"
"Jul 28, 2019","136,599,008","135,979,008","137,800,000","133,431,000","0.18K","0.46%"
"Jul 27, 2019","135,979,008","140,206,000","143,500,000","134,000,000","0.32K","-2.98%"
"Jul 26, 2019","140,155,008","142,175,008","142,175,008","138,159,008","0.21K","-1.42%"
"Jul 25, 2019","142,175,008","139,804,992","146,999,008","139,764,000","0.27K","1.56%"
"Jul 24, 2019","139,994,000","141,544,992","141,600,000","136,600,000","0.26K","-1.10%"
"Jul 23, 2019","141,544,992","146,252,000","146,536,992","140,876,992","0.25K","-3.22%"
"Jul 22, 2019","146,252,000","149,351,008","150,452,992","143,678,000","0.25K","-2.07%"
"Jul 21, 2019","149,350,000","150,514,000","151,372,000","145,000,992","0.25K","-0.77%"
"Jul 20, 2019","150,503,008","147,200,000","153,743,008","146,212,000","0.25K","2.24%"
"Jul 19, 2019","147,199,008","149,199,008","150,299,008","143,000,000","0.35K","-1.34%"
"Jul 18, 2019","149,199,008","137,510,000","150,600,000","132,300,000","0.50K","8.50%"
"Jul 17, 2019","137,510,000","135,500,992","141,800,000","129,241,000","0.66K","1.49%"
"Jul 16, 2019","135,484,992","155,372,992","157,000,992","135,000,000","0.53K","-12.85%"
"Jul 15, 2019","155,464,000","147,802,000","156,878,000","142,000,000","0.69K","5.18%"
"Jul 14, 2019","147,802,000","165,000,000","166,008,000","147,008,992","0.47K","-10.42%"
"Jul 13, 2019","165,000,000","169,452,000","170,000,000","160,128,992","0.24K","-2.63%"
"Jul 12, 2019","169,452,000","164,790,000","171,834,000","162,500,000","0.28K","2.83%"
"Jul 11, 2019","164,790,000","174,499,008","174,650,000","160,520,000","0.47K","-5.65%"
"Jul 10, 2019","174,650,000","176,700,000","183,748,992","170,208,000","0.67K","-1.19%"
"Jul 09, 2019","176,755,008","172,511,008","177,764,992","171,400,000","0.49K","2.46%"
"Jul 08, 2019","172,511,008","163,248,992","174,044,000","161,750,000","0.41K","5.67%"
"Jul 07, 2019","163,248,992","162,782,000","164,696,000","160,550,000","0.24K","0.29%"
"Jul 06, 2019","162,782,000","159,400,992","167,500,992","159,400,992","0.31K","2.12%"
"Jul 05, 2019","159,400,992","160,899,008","164,499,008","156,500,000","0.36K","-0.93%"
"Jul 04, 2019","160,899,008","169,611,008","170,404,000","160,000,000","0.48K","-5.05%"
"Jul 03, 2019","169,456,000","156,075,008","170,000,000","155,508,992","0.67K","8.57%"
"Jul 02, 2019","156,075,008","154,750,000","156,504,000","141,220,000","0.76K","0.86%"
"Jul 01, 2019","154,750,000","158,492,000","164,723,008","145,880,000","0.62K","-2.40%"
"Jun 30, 2019","158,559,008","172,302,000","174,798,000","158,500,992","0.48K","-7.98%"
"Jun 29, 2019","172,300,000","179,300,000","179,300,000","165,870,000","0.44K","-3.90%"
"Jun 28, 2019","179,300,000","162,303,008","180,526,000","155,008,992","0.89K","10.47%"
"Jun 27, 2019","162,303,008","191,812,992","196,380,000","150,002,000","1.34K","-15.25%"
"Jun 26, 2019","191,500,992","169,296,992","199,800,000","168,900,000","1.22K","13.12%"
"Jun 25, 2019","169,296,992","157,500,000","169,399,008","157,500,000","0.44K","7.49%"
"Jun 24, 2019","157,500,000","154,368,000","158,495,008","151,600,000","0.25K","2.05%"
"Jun 23, 2019","154,339,008","153,548,992","158,999,008","150,000,000","0.26K","0.51%"
"Jun 22, 2019","153,548,992","144,498,000","160,000,000","143,311,008","0.81K","6.26%"
"Jun 21, 2019","144,498,000","136,006,000","144,500,000","136,002,000","0.44K","6.24%"
"Jun 20, 2019","136,006,000","132,249,000","136,500,000","131,971,000","0.30K","2.84%"
"Jun 19, 2019","132,248,000","129,533,000","133,165,000","129,204,000","0.26K","2.10%"
"Jun 18, 2019","129,532,000","131,565,000","131,880,000","128,002,000","0.27K","-1.54%"
"Jun 17, 2019","131,564,000","128,001,000","132,500,000","127,899,000","0.34K","2.78%"
"Jun 16, 2019","128,000,000","125,000,000","131,125,000","124,575,000","0.47K","2.40%"
"Jun 15, 2019","124,999,000","123,827,000","125,500,000","122,811,000","0.20K","0.95%"
"Jun 14, 2019","123,827,000","117,663,000","124,499,000","117,129,000","0.34K","5.24%"
"Jun 13, 2019","117,663,000","117,261,000","119,000,000","116,527,000","0.16K","0.34%"
"Jun 12, 2019","117,261,000","115,255,000","118,032,000","114,115,000","0.25K","1.74%"
"Jun 11, 2019","115,255,000","117,307,000","118,106,000","113,385,000","0.20K","-1.70%"
"Jun 10, 2019","117,250,000","112,931,000","117,752,000","112,214,000","0.23K","3.82%"
"Jun 09, 2019","112,932,000","114,542,000","115,500,000","112,213,000","0.16K","-1.41%"
"Jun 08, 2019","114,542,000","116,291,000","116,500,000","113,354,000","0.15K","-1.50%"
"Jun 07, 2019","116,291,000","116,651,000","117,642,000","115,099,000","0.21K","-0.31%"
"Jun 06, 2019","116,650,000","117,143,000","117,318,000","112,500,000","0.17K","-0.42%"
"Jun 05, 2019","117,144,000","114,589,000","117,952,000","114,225,000","0.17K","2.23%"
"Jun 04, 2019","114,589,000","120,896,000","120,932,000","113,358,000","0.39K","-5.25%"
"Jun 03, 2019","120,939,000","125,892,000","125,893,000","120,001,000","0.25K","-3.94%"
"Jun 02, 2019","125,893,000","124,362,000","127,000,000","124,343,000","0.21K","1.23%"
"Jun 01, 2019","124,363,000","125,017,000","125,200,000","123,800,000","0.15K","-0.52%"
"May 31, 2019","125,016,000","123,250,000","125,128,000","120,198,000","0.40K","1.43%"
"May 30, 2019","123,250,000","125,511,000","130,200,000","120,000,000","0.57K","-1.80%"
"May 29, 2019","125,510,000","125,259,000","126,511,000","123,574,000","0.36K","0.20%"
"May 28, 2019","125,259,000","125,100,000","126,000,000","124,267,000","0.34K","0.13%"
"May 27, 2019","125,100,000","124,040,000","126,989,000","123,500,000","0.52K","0.85%"
"May 26, 2019","124,040,000","116,257,000","124,599,000","115,201,000","0.43K","6.69%"
"May 25, 2019","116,257,000","115,538,000","116,985,000","115,304,000","0.15K","0.62%"
"May 24, 2019","115,537,000","116,007,000","117,524,000","114,422,000","0.35K","-0.41%"
"May 23, 2019","116,011,000","114,492,000","116,900,000","112,350,000","0.44K","1.32%"
"May 22, 2019","114,494,000","117,108,000","117,975,000","114,395,000","0.39K","-2.23%"
"May 21, 2019","117,108,000","117,300,000","118,600,000","115,500,000","0.36K","-0.16%"
"May 20, 2019","117,300,000","118,552,000","119,000,000","113,189,000","0.57K","-1.06%"
"May 19, 2019","118,552,000","109,104,000","119,489,000","109,104,000","0.55K","8.66%"
"May 18, 2019","109,104,000","109,000,000","110,689,000","107,280,000","0.22K","0.10%"
"May 17, 2019","109,000,000","115,951,000","117,150,000","102,999,000","0.80K","-5.99%"
